UE : GI-4-PCO-S2,,,,,,,
EC : GI-4-PCO-S2,Projets collectifs ,,,,,,
ECTS,3,,,,,,
Nbre H,52,,,,,,
,,,,,,,Niveau de la compétence
,Compétence 7,"Observer, mesurer, analyser et interpréter une activité ou un système à partir de données",,,,,C
,Compétence 8,"Modéliser, concevoir un système d'informations, de décision et de production de biens et de services ",,,,,C
,Compétence 9,"Evaluer, prototyper ou simuler un système",,,,,C
,Compétence 10,Dimensionner la partie matérielle et/ou logicielle d'un système ,,,,,C
,Compétence 16,Définir et appliquer un plan d’actions dans le cadre d’une démarche qualité et de l'amélioration continue ,,,,,C
,Compétence 18,Faire évoluer les organisations pour répondre à de nouvelles contraintes ou opportunités ,,,,,C
,Compétence 20,"Conduire collectivement un projet : organisation, communication, animation, coordination du groupe ",,,,,C
,Compétence 21,"Piloter un projet en s'appuyant sur un plan directeur (planification, élaboration du budget, définition des indicateurs de suivi, réaliser une recette) ",,,,,C
,Compétence 22,"Identifier, analyser et maîtriser les risques inhérents à un projet ",,,,,C
,Compétence 23,"Identifier, formaliser et contractualiser les besoins d’un client, suivre leur évolution et valider leur respect (traçabilité des besoins)",,,,,C
,Compétence 24,Identifier les compétences et savoirs critiques d’une organisation et mettre en œuvre des outils et méthodes pour les pérenniser ,,,,,M
,Compétence 25, Réaliser une analyse socio-organisationnelle afin de mieux appréhender les effets des changements et d'y adapter ses stratégies ,,,,,C
,,,,,,,
CAPACITES,,CONNAISSANCES,,,,,
"Mettre en oeuvre les outils du management (21,22,23) ",,"Outils et méthodes :gestion de projets, d'ingénierie système, de Management de la Qualité, de communication.
",,,,,
" Apprendre à conduire collectivement un projet réel : organisation collective du groupe, communication, animation, coordination (20, 21) ",,,,,,,
" Appliquer avec rigueur une démarche structurée, cohérente et pertinente de conception d'une solution industrielle en intégrant les facteurs de performance  : Risques + Coûts + Qualité + Usage (6, 7, 8, 9, 10, 16, 22, 23) ",,,,,,,
" Collecter, extraire, structurer et analyser les informations (7, 17) ",,,,,,,
" Evaluer ses forces et ses limites, mener une négociation",,,,,,,
"Etre force de proposition (27, 29, 32) ",,,,,,,
" Analyser dans une approche globale, de façon systémique, une entreprise, une organisation, un projet, un problème (18, 25, 32).",,,,,,,
